[16:52:20] Watching PR #30 (interval=20s, timeout=7200s)
[16:52:21] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[16:52:42] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[16:53:03] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[16:53:24] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[16:53:45] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[16:54:06] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[16:54:27] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[16:54:48] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[16:55:08] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[16:55:29] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[16:55:50] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[16:56:11] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[16:56:32] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[16:56:53] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[16:57:14] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[16:57:35] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[16:57:56] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[16:58:16] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[16:58:37] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[16:58:58] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[16:59:19] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[16:59:40] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:00:01] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:00:21] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:00:42] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:01:03] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:01:24] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:01:45] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
